Lake Name,lake,Country,Province/State,Timeseries Range,Years of Ice Phenology Data,Years Missing Ice On,Years Missing Ice Off,Ice-on Definition,Complete Ice-on?,Ice-off Definition,Complete Ice-off?,Ice-on Complete Definition,Ice-off Complete Definition
Lake Superior at Bayfield,bayfield,United States,Wisconsin,1857 - 2021,165,5,1,Last boat leaves,No,First boat arrives,Yes,Date last boat leaves Bayfield Harbor,Date that the first boat of the season arrives 
Lake Suwa,suwa,Japan,,1443 - 2021,452,0,364,Completely ice-covered,Yes,,,lake is completely covered with ice,
Lake Tesse,tesse,Norway,,1907 - 2020,78,1,3,First continous ice observed,No,Completely open-water,Yes,ice is first observed,no ice on the lake
Lake Tunhovdfjorden,tunhovdfjorden,Norway,,1919 - 2019,79,2,6,First continous ice observed,No,Completely open-water,Yes,ice is first observed,no ice on the lake
Lake Vesij„rvi,vesijarvi,Finland,,1870 - 2020,135,4,1,Completely ice-covered within sight,Yes,No visible ice,Yes,Final freeze-up of the lake ?within sight? ,Ice is not visible 
Lake Visuvesi,visuvesi,Finland,,1884 - 2020,136,7,3,Completely ice-covered within sight,Yes,No visible ice,Yes,Final freeze-up of the lake ?within sight? ,Ice is not visible 
Lake Winnipesaukee,winnipesaukee,United States,New Hampshire,1886 - 2018,133,131,0,,,Mostly free of ice and navigable by boat,No,,"when all of the ports for the cruise boat Mount Washington including Alton Bay, Weirs Beach, Center Harbor, Meredith and Wolfeboro are free of ice"
Lej de San Murezzan,lej_da_san_murezzan,Switzerland,,1831 - 2018,184,121,0,Unknown,N/A,Unknown,N/A,Unknown,Unknown
Lower Lake Constance (Untersee),untersee,Switzerland,,1890 - 2018,125,0,14,>90% of ice,No,>10% open-water,No,lake is completely or almost completely (>90%) covered with ice for more than one day,date when more than 10% of the lake has open water
Mirror Lake,mirror,United States,New York,1880 - 2021,121,12,2,Completely ice-covered,Yes,Mostly open-water,No,Lake is covered completely with ice,"First day after winter ice cover when the lake is mostly free of ice, except possibly small pieces of ice near the shore"
Mohonk Lake,mohonk,United States,New York,1931 - 2017,87,16,17,Completely ice-covered,,Completely open-water,Yes,first date of the season when lake ice coverage is 100% ,"first date after ice-on when lake ice coverage is completely absent (i.e., 0%). "
Moosehead Lake,moosehead,United States,Maine,1847 - 2020,174,174,0,,,Mostly free of ice and navigable by boat,No,,Earliest date of open navigation from Greenville to Northeast Carry
Mooselookmeguntic Lake,mooselookmeguntic,United States,Maine,1883 - 2020,120,120,0,,,Completely open-water,Yes,,Winter ice disappears in spring
Oneida Lake,oneida,United States,New York,1826 - 2020,189,110,2,Completely ice-covered,Yes,Mostly free of ice and navigable by boat,No,first date that the lake completely froze over ,ice-off date is defined (since 1975) as the date when it is possible to drive a boat from the south to the north shore at a mid-lake location by Shackelton Point at the CBFS
Otsego Lake,otsego,United States,New York,1842 - 2020,178,7,0,Completely ice-covered,Yes,Completely open-water,Yes,Entirely closed by ice,last ice left the lake
Pennesseewassee (Norway) Lake,pennessewassee,United States,Maine,1873 - 2019,138,138,0,,,Completely open-water,Yes,,Winter ice disappears in spring
Rangeley Lake,rangeley,United States,Maine,1879 - 2020,142,142,0,,,Completely open-water,Yes,,Winter ice disappears in spring
Richardson Lake,richardson,United States,Maine,1879 - 2019,133,133,0,,,Completely open-water,Yes,,Winter ice disappears in spring
Sebago Lake,sebago,United States,Maine,1806 - 2019,180,165,0,,,No ice on Big Bay,No,,Ice disappears across the Big Bay on the west shore of the lake
Sebec Lake,sebec,United States,Maine,1878 - 2020,141,141,0,,,Mostly free of ice and navigable by boat,No,,Boat navigation from one end to another end of the lake is possible
Serwy Lake,serwy,Poland,,1888 - 2020,109,29,1,Completely ice-covered,Yes,Last day of ice cover,No,"ice cover in winter (but ice may melt later), when 100% of the lake area within a visible measurement sector was covered with ice. ",last day with ice cover in winter (day before the date of disintegration of the ice cover)
Shell Lake,shell,United States,Wisconsin,1891 - 2020,120,6,0,Completely ice-covered,Yes,Completely open-water,Yes,"when the lake is completely frozen, which is typically when the deepest area of the lake freezes",date when the lake is completely thawed with no ice at the deepest area of the lake
Shields Lake,shields,United States,Minnesota,1893 - 2020,118,109,0,,,>95% of open-water,No,,95% of the lake is open water
Thompson Lake,thompson,United States,Maine,1901 - 2020,111,111,0,,,Mostly free of ice and navigable by boat,No,,Watercraft can navigate up and down the lake (north and south) without obstruction of ice sheets
Umbagog Lake,umbagog,United States,New Hampshire,1879 - 2015,119,119,0,,,Completely open-water,Yes,,winter ice previously covering the lake disappears in spring
West Grand Lake,west_grand,United States,Maine,1877 - 2020,144,144,0,,,Completely open-water,Yes,,Winter ice disappears in spring
Wilson Lake,wilson,United States,Maine,1888 - 2019,132,132,0,,,Mostly free of ice and navigable by boat,No,,Boat can travel from the boat launch to the big island (southeast to northwest across lake). 
